time,Ca,Cb,Cc,Cd
0.0,0.6,0.0,0.0,0.0
0.001,0.59364,0.006,0.0,0.00017999999999999998
0.002,0.5873511986227199,0.011930393328,6e-06,0.00035620402463999994
0.003,0.5811327192853585,0.017791961641170324,1.7930386649395944e-05,0.0005286943434108323
0.004,0.5749836978770408,0.023585477048545387,3.572232831249551e-05,0.0006975513730505914
0.005,0.5689032825462192,0.029311702245298523,5.930776551979761e-05,0.0008628537214811745
0.006,0.5628906334924257,0.03497139064475645,8.861940155355347e-05,0.0010246782306320723
0.007,0.5569449227622716,0.040565286508199135,0.00012359069316534877,0.001183100018181884
0.008,0.5510653340495923,0.046094125072489785,0.0001641558414234923,0.0013381925182471212
0.009000000000000001,0.5452510624996394,0.05155863267557851,0.00021024978268804087,0.0014900275210469863
0.010000000000000002,0.5395013145172223,0.05695952687992237,0.00026180817971133445,0.001638675211571958
0.011000000000000003,0.5338153075787083,0.06229751659386326,0.00031876741286195753,0.0017842042072831923
0.012000000000000004,0.5281922700477876,0.0675733021910044,0.0003810645714700846,0.0019266815948689542
0.013000000000000005,0.5226314409949158,0.07278757562762492,0.00044863744529220816,0.0020661729660835146
0.014000000000000005,0.5171320700203488,0.07794102055817145,0.0005214245160932873,0.0022027424526932125
0.015000000000000006,0.5116934170806838,0.08303431244886443,0.0005993649493443942,0.002336452760553647
0.016000000000000007,0.5063147523188273,0.08806811868945616,0.0006823985860339723,0.0024673652028412755
0.017000000000000008,0.5009953558973085,0.09304309870317666,0.0007704659345908584,0.0025955397324620056
0.01800000000000001,0.4957345178348626,0.09795990405490268,0.0008635081629172566,0.0027210349736587237
0.01900000000000001,0.49053153784620773,0.10281917855758424,0.000961467090529887,0.0028439082528390605
0.02000000000000001,0.4853857251849418,0.10762155837696251,0.0010642851808075654,0.002964215628644076
0.02100000000000001,0.48029639848948885,0.11236767213461173,0.0011719055333435085,0.0030820119212779653
0.022000000000000013,0.4752628856320251,0.11705814100933762,0.0012842718764006836,0.0031973507411182872
0.023000000000000013,0.4702845235703166,0.12169357883696351,0.0014013285594685647,0.0033102845166256833
0.024000000000000014,0.4653606582024024,0.12627459220853493,0.0015230205459196785,0.003420864521571491
0.025000000000000015,0.4604906442240605,0.13080178056697286,0.0016492934057643607,0.0035291409016011445
0.026000000000000016,0.4556738449889915,0.13527573630220482,0.0017800933085021702,0.0036351627001507472
0.027000000000000017,0.45090963237166143,0.13969704484480272,0.00191536701606844,0.003738977883733695
0.028000000000000018,0.4461973866327428,0.1440662847581552,0.0020550618758744714,0.0038406333666137684
0.02900000000000002,0.4415364962870964,0.1483840278292024,0.0021991258139399034,0.0039401750348806415
0.03000000000000002,0.43692635797423796,0.1526508391577596,0.002347507328115825,0.0040376477699432985
0.03100000000000002,0.43236637633123376,0.15686727724445612,0.0025001554813972116,0.004133095471456433
0.03200000000000002,0.4278559638679724,0.1610338940773153,0.002657019895323311,0.0042265610796944665
0.03300000000000002,0.42339454084476014,0.16515123521700037,0.0028180507434646083,0.0043180865973874195
0.03400000000000002,0.41898153515218883,0.16921983988075112,0.0029831987449950434,0.004407713111032477
0.035000000000000024,0.4146163821932272,0.17324024102503516,0.0031524151583481714,0.004495480811694697
0.036000000000000025,0.4102985247674867,0.1772129654269374,0.0033256517749559763,0.004581429015309949
0.037000000000000026,0.4060274129576145,0.1811385337643108,0.003502860913069081,0.004665596182502792
0.03800000000000003,0.40180250401776885,0.1850174606947107,0.003683995411657109,0.004748019937931668
0.03900000000000003,0.3976232622641301,0.18885025493313506,0.003869008624387989,0.004828737089173442
0.04000000000000003,0.39348915896740516,0.1926374193285919,0.004057854413685002,0.0049077836451589685
0.04100000000000003,0.38939967224728217,0.19637945093951525,0.004250487144860397,0.0049851948341710925
0.04200000000000003,0.38535428696879326,0.20007684110805007,0.004446861680324434,0.005061005121416118
0.04300000000000003,0.38135249464054566,0.20373007553322658,0.004646933373868708,0.005135248226179538
0.04400000000000003,0.3773937933147809,0.2073396343430435,0.004850658065022661,0.005207957138576485
0.04500000000000003,0.3734776874892237,0.21090599216547998,0.005057992073482167,0.0052791641359070905
0.046000000000000034,0.3696036880106829,0.21442961819845469,0.005268892193609151,0.005348900798626673
0.047000000000000035,0.36577131198036694,0.21791097627875117,0.005483315689001154,0.0054171980259404
0.048000000000000036,0.3619800826608795,0.2213505249499271,0.005701220287129838,0.005484086051031803
0.04900000000000004,0.35822952938485825,0.22474871752922582,0.005922564174047402,0.005549594455934288
0.05000000000000004,0.3545191874652241,0.22810600217350702,0.00614730598915991,0.005613752186054528
0.05100000000000004,0.35084859810700664,0.23142282194421415,0.006375404820066555,0.005676587564356385
0.05200000000000004,0.3472173083207137,0.23469961487139496,0.006606820197463898,0.005738128305213788
0.05300000000000004,0.34362487083721277,0.2379368140167917,0.0068415120901141255,0.0057984015279407605
0.05400000000000004,0.34007084402409354,0.24113484753601702,0.007079440899876404,0.005857433770006579
0.05500000000000004,0.3365547918034809,0.24429413873983116,0.007320567456800411,0.005915250999943823
0.05600000000000004,0.33307628357126906,0.24741510615453613,0.007564853014281153,0.005971878629956889
0.057000000000000044,0.3296348941177477,0.25049816358150157,0.007812259244274175,0.006027341528238316
0.058000000000000045,0.326230203549592,0.25354372015583754,0.008062748232570298,0.006081664031000115
0.059000000000000045,0.3228617972131886,0.25655218040422834,0.008316282474129043,0.006134869954227052
0.060000000000000046,0.31952926561927114,0.25952394430194164,0.008572824868469879,0.006186982605158704
0.06100000000000005,0.3162322043688386,0.2624594073290272,0.008832338715120494,0.006238024793506905
